id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,14,45,361.519732686325,1.9182485563670015,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6 0m,JE6 5 m,4,4,0.6798380727083995,6.794323936117882,2.0580881887610758e-08,2,45,0.05
,,JE6 0m,JE6 15m,4,4,-1.101716636188227,-11.010592099162473,2.353672812205332e-14,,,
,,JE6 0m,J132 0m,4,4,-0.14423244278824734,-1.4414637510618995,0.15637694640614774,,,
,,JE6 0m,J133 0m,4,4,0.23851272760670622,2.383704001441087,0.02141889546445719,,,
,,JE6 0m,J134 0m,4,4,1.1078827294886224,11.072216237299237,1.9317880628477724e-14,,,
,,JE6 0m,J135 0m,4,4,1.8241576379941622,18.230691102220856,0.0,,,
,,JE6 5 m,JE6 15m,4,4,-1.7815547088966264,-17.804916035280357,0.0,,,
,,JE6 5 m,J132 5 m,4,4,-3.1702715909181283,-31.683797979064597,0.0,,,
,,JE6 5 m,J133 5 m,4,4,-2.201926840362219,-22.00612886749937,0.0,,,
,,JE6 5 m,J134 5 m,4,4,-2.1809139179434647,-21.79612503351467,0.0,,,
,,JE6 5 m,J135 5 m,4,4,-2.5081963814619037,-25.06699667931134,0.0,,,
,,JE6 15m,J132 15m,4,4,-1.5645961368890493,-15.636624969932342,0.0,,,
,,JE6 15m,J133 15m,4,4,-0.426063524521308,-4.25809280058302,0.00010351886794635057,,,
,,JE6 15m,J134 15m,4,4,-0.5704971147522757,-5.70156682576699,8.641822086818962e-07,,,
,,JE6 15m,J135 15m,4,4,-0.5246486647560786,-5.243355916804437,4.074498030526286e-06,,,
,,J132 0m,J132 5 m,4,4,-2.3462010754214817,-23.448010291884817,0.0,,,
,,J132 0m,J132 15m,4,4,-2.522080330289029,-25.205753318032915,0.0,,,
,,J132 0m,J133 0m,4,4,0.3827451703949536,3.825167752502987,0.0004000202010678855,,,
,,J132 0m,J134 0m,4,4,1.2521151722768697,12.513679988361137,2.220446049250313e-16,,,
,,J132 0m,J135 0m,4,4,1.9683900807824095,19.672154853282755,0.0,,,
,,J132 5 m,J132 15m,4,4,-0.17587925486754719,-1.7577430261480989,0.08559220483117658,,,
,,J132 5 m,J133 5 m,4,4,0.9683447505559093,9.67766911156523,1.4366285938649526e-12,,,
,,J132 5 m,J134 5 m,4,4,0.989357672974664,9.88767294554993,7.400746682151293e-13,,,
,,J132 5 m,J135 5 m,4,4,0.6620752094562248,6.616801299753259,3.778796586750843e-08,,,
,,J132 15m,J133 15m,4,4,1.1385326123677413,11.378532169349322,7.771561172376096e-15,,,
,,J132 15m,J134 15m,4,4,0.9940990221367736,9.935058144165353,6.374900607397649e-13,,,
,,J132 15m,J135 15m,4,4,1.0399474721329707,10.393269053127906,1.532107773982716e-13,,,
,,J133 0m,J133 5 m,4,4,-1.760601495260526,-17.595508932822575,0.0,,,
,,J133 0m,J133 15m,4,4,-1.7662928883162412,-17.65238890118658,0.0,,,
,,J133 0m,J134 0m,4,4,0.8693700018819162,8.68851223585815,3.5072389437118545e-11,,,
,,J133 0m,J135 0m,4,4,1.585644910387456,15.84698710077977,0.0,,,
,,J133 5 m,J133 15m,4,4,-0.005691393055715199,-0.05687996836400644,0.9548926273304168,,,
,,J133 5 m,J134 5 m,4,4,0.021012922418754743,0.2100038339847004,0.834612622083561,,,
,,J133 5 m,J135 5 m,4,4,-0.3062695410996845,-3.0608678118119705,0.0037146161675734035,,,
,,J133 15m,J134 15m,4,4,-0.1444335902309677,-1.4434740251839697,0.15581294494173292,,,
,,J133 15m,J135 15m,4,4,-0.09858514023477061,-0.9852631162214172,0.3297629088098213,,,
,,J134 0m,J134 5 m,4,4,-2.6089585747236876,-26.074017334696027,0.0,,,
,,J134 0m,J134 15m,4,4,-2.7800964804291253,-27.784375162228702,0.0,,,
,,J134 0m,J135 0m,4,4,0.7162749085055398,7.1584748649216206,5.934772673299449e-09,,,
,,J134 5 m,J134 15m,4,4,-0.17113790570543763,-1.7103578275326765,0.09408685447607068,,,
,,J134 5 m,J135 5 m,4,4,-0.32728246351843926,-3.270871645796671,0.0020614365192599404,,,
,,J134 15m,J135 15m,4,4,0.04584844999619708,0.4582109089625526,0.6490060911175224,,,
,,J135 0m,J135 5 m,4,4,-3.652515946747666,-36.50336384541431,0.0,,,
,,J135 0m,J135 15m,4,4,-3.4505229389384677,-34.484639118187765,0.0,,,
,,J135 5 m,J135 15m,4,4,0.2019930078091987,2.0187247272265467,0.049498530808883334,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6 0m,JE6 5 m,4,4,0.6798380727083995,6.794323936117882,3.70455809139969e-07,2,45,0.05,True
,,JE6 0m,JE6 15m,4,4,-1.101716636188227,-11.010592099162473,5.88418203051333e-13,,,,True
,,JE6 0m,J132 0m,4,4,-0.14423244278824734,-1.4414637510618995,0.6380637104479874,,,,False
,,JE6 0m,J133 0m,4,4,0.23851272760670622,2.383704001441087,0.1946804226408836,,,,False
,,JE6 0m,J134 0m,4,4,1.1078827294886224,11.072216237299237,5.022648963404208e-13,,,,True
,,JE6 0m,J135 0m,4,4,1.8241576379941622,18.230691102220856,0.0,,,,True
,,JE6 5 m,JE6 15m,4,4,-1.7815547088966264,-17.804916035280357,0.0,,,,True
,,JE6 5 m,J132 5 m,4,4,-3.1702715909181283,-31.683797979064597,0.0,,,,True
,,JE6 5 m,J133 5 m,4,4,-2.201926840362219,-22.00612886749937,0.0,,,,True
,,JE6 5 m,J134 5 m,4,4,-2.1809139179434647,-21.79612503351467,0.0,,,,True
,,JE6 5 m,J135 5 m,4,4,-2.5081963814619037,-25.06699667931134,0.0,,,,True
,,JE6 15m,J132 15m,4,4,-1.5645961368890493,-15.636624969932342,0.0,,,,True
,,JE6 15m,J133 15m,4,4,-0.426063524521308,-4.25809280058302,0.0014482893847301836,,,,True
,,JE6 15m,J134 15m,4,4,-0.5704971147522757,-5.70156682576699,1.3826825721929836e-05,,,,True
,,JE6 15m,J135 15m,4,4,-0.5246486647560786,-5.243355916804437,6.111572732758752e-05,,,,True
,,J132 0m,J132 5 m,4,4,-2.3462010754214817,-23.448010291884817,0.0,,,,True
,,J132 0m,J132 15m,4,4,-2.522080330289029,-25.205753318032915,0.0,,,,True
,,J132 0m,J133 0m,4,4,0.3827451703949536,3.825167752502987,0.005187799641782842,,,,True
,,J132 0m,J134 0m,4,4,1.2521151722768697,12.513679988361137,6.217248937900877e-15,,,,True
,,J132 0m,J135 0m,4,4,1.9683900807824095,19.672154853282755,0.0,,,,True
,,J132 5 m,J132 15m,4,4,-0.17587925486754719,-1.7577430261480989,0.511213325472193,,,,False
,,J132 5 m,J133 5 m,4,4,0.9683447505559093,9.67766911156523,3.0169200471164004e-11,,,,True
,,J132 5 m,J134 5 m,4,4,0.989357672974664,9.88767294554993,1.6281642700732846e-11,,,,True
,,J132 5 m,J135 5 m,4,4,0.6620752094562248,6.616801299753259,6.423952255696364e-07,,,,True
,,J132 15m,J133 15m,4,4,1.1385326123677413,11.378532169349322,2.0983215165415459e-13,,,,True
,,J132 15m,J134 15m,4,4,0.9940990221367736,9.935058144165353,1.4662271397014592e-11,,,,True
,,J132 15m,J135 15m,4,4,1.0399474721329707,10.393269053127906,3.6770586575585185e-12,,,,True
,,J133 0m,J133 5 m,4,4,-1.760601495260526,-17.595508932822575,0.0,,,,True
,,J133 0m,J133 15m,4,4,-1.7662928883162412,-17.65238890118658,0.0,,,,True
,,J133 0m,J134 0m,4,4,0.8693700018819162,8.68851223585815,7.014477887423709e-10,,,,True
,,J133 0m,J135 0m,4,4,1.585644910387456,15.84698710077977,0.0,,,,True
,,J133 5 m,J133 15m,4,4,-0.005691393055715199,-0.05687996836400644,0.972647015225925,,,,False
,,J133 5 m,J134 5 m,4,4,0.021012922418754743,0.2100038339847004,0.972647015225925,,,,False
,,J133 5 m,J135 5 m,4,4,-0.3062695410996845,-3.0608678118119705,0.04011026199245071,,,,True
,,J133 15m,J134 15m,4,4,-0.1444335902309677,-1.4434740251839697,0.6380637104479874,,,,False
,,J133 15m,J135 15m,4,4,-0.09858514023477061,-0.9852631162214172,0.7982034055317255,,,,False
